country_org,country_dest,trade_flow2014
BRA,CHN,41012.17524469456
BRA,CZE,143.421716268183
BRA,DEU,7024.734724240248
BRA,DNK,908.298696742569
BRA,ESP,3302.001042848741
BRA,EST,50.06987162383829
BRA,FIN,560.4541259334214
BRA,FRA,4870.501645493252
BRA,GBR,4778.96288698256
BRA,GRC,182.8518482134242
BRA,HRV,60.52638073672406
BRA,HUN,187.1749998025353
BRA,IDN,3475.755138974122
BRA,IND,6890.617602213999
BRA,IRL,831.8307611478613
BRA,ITA,4089.932985924495
BRA,JPN,9054.493328251494
BRA,KOR,4341.47991649984
BRA,LTU,45.80108436069738
BRA,LUX,29.23055709057244
BRA,LVA,30.26750243170181
BRA,MEX,4855.520712794755
BRA,NLD,8682.311778748101
BRA,NOR,1707.881679958698
BRA,POL,645.8299153512633
